exp,cond,n,lam,seed,map,runId,durationS,events.dist_avg,events.dist_median,events.n_assign,events.n_block,events.n_fail,events.n_preempt,task.assignwait_avg,task.blocked_avg,task.lat_max,task.lat_median,task.lat_p95,task.n_done,taskReliable,throughput_per_h,vehicle.blocked_s,vehicle.f,vehicle.n_veh,vehicle.observed_s,vehicle.utilization,vehicle.working_s,vehicleReliable
E3wfull,S1,15,8,1,v7,301,750.415,13250.095238095239,12500,84,15,0,4,0.079258775,4.78716835,142.115079,65.4402985,121.94894359999999,80,true,383.788,1020.147512,0.14815969045362398,13,8394.657077,0.8202192409818673,6885.459256,true
E3wfull,S1,15,8,2,v7,302,715.615,19849.559139784946,17000,93,39,0,13,6.889097475,28.0378951875,322.997325,90.44934850000001,253.8320953,80,true,402.451,914.160584,0.12494856889622176,15,9317.535426,0.7852178305203258,7316.294953,true
E3wfull,S1,15,8,3,v7,303,698.745,15258.172043010753,11000,93,22,0,13,0.3437768,9.8214915,238.6462,63.212816000000004,168.53375984999997,80,true,412.168,920.635566,0.1279206361677941,15,8407.987553,0.8559631689074171,7196.92767,true
E3wfull,S1,15,8,4,v7,304,708.879,20069.068965517243,19000,87,36,0,7,6.35330595,30.1005484875,456.722795,107.02725050000001,224.02992039999995,80,true,406.275,1312.898952,0.16829624577241104,15,9555.513106,0.8163997461425281,7801.118474,true
E3wfull,S1,15,8,5,v7,305,761.414,15540.333333333334,15000,87,16,0,7,0.096231225,5.351982375,133.551872,67.6696285,119.24669075,80,true,378.244,780.386141,0.11301426298838708,15,9597.20862,0.7195009231757223,6905.200462,true
