exp,cond,n,lam,seed,map,runId,durationS,events.dist_avg,events.dist_median,events.n_assign,events.n_block,events.n_fail,events.n_preempt,task.assignwait_avg,task.blocked_avg,task.lat_max,task.lat_median,task.lat_p95,task.n_done,taskReliable,throughput_per_h,vehicle.blocked_s,vehicle.f,vehicle.n_veh,vehicle.observed_s,vehicle.utilization,vehicle.working_s,vehicleReliable
E2,S1,15,5,1,v7,202,1128.299,12216.963855421687,12000,83,10,0,3,0.2308328375,2.568204925,104.281096,58.605781,99.8742585,80,true,255.251,565.738842,0.08659841952191134,10,9190.040345,0.7108674247066106,6532.900313,true
E2,S1,15,5,2,v7,203,1028.968,11190.607142857143,11000,84,12,0,4,0.136290325,4.0875104625,108.240283,62.384187499999996,102.3029424,80,true,279.892,769.311308,0.11491137652193817,10,8262.702496,0.8102461443142828,6694.822839,true
E2,S1,15,5,3,v7,204,1069.617,14193.295454545454,12000,88,14,0,8,0.2424721,6.8622247,200.072315,62.25007,132.92962614999993,80,true,269.255,791.453697,0.11130328486922747,15,10290.306507,0.6910177760169608,7110.784717,true
E2,S1,15,5,4,v7,205,919.681,15214.380952380952,14000,84,15,0,4,0.2068310625,4.68290065,124.216565,64.44216750000001,110.0170141,80,true,313.152,598.599688,0.09236764464489361,13,8891.848763,0.7288271616771762,6480.620896,true
E2,S1,15,5,5,v7,206,1115.209,12678.666666666666,12000,84,9,0,4,0.0995639875,2.3445534875,124.475973,60.754958,86.93060245,80,true,258.248,622.195203,0.09004488975115883,15,9479.883049,0.7288943909206659,6909.833581,true
E2,S1,15,5,6,v7,207,1072.208,14280.585365853658,12000,82,5,0,2,0.12012795,2.2341829625,138.742857,61.449194500000004,108.59031084999997,80,true,268.605,633.087276,0.0919210416439513,15,10567.747994,0.6517277295891581,6887.294407,true
E2,S1,15,5,7,v7,208,992.65,17811.870588235295,16000,85,19,0,5,0.29105265,6.3655772375,228.01594,72.519664,130.66083279999998,80,true,290.132,1019.825013,0.135203582750536,15,11667.278345,0.6464990642168484,7542.884532,true
E2,S1,15,5,8,v7,209,1035.499,13542.277108433735,11001,83,9,0,3,0.1286025875,2.5994544625,152.745605,60.794104,88.04238954999992,80,true,278.127,520.287659,0.07829808045884917,14,10140.436254,0.6552933645609996,6644.960591,true
E2,S1,15,5,9,v7,210,992.244,13390.341463414634,12500.5,82,12,0,2,0.2134751875,4.6073787,162.514661,62.6106845,105.32418115,80,true,290.251,628.563241,0.09599891376878895,12,9660.32758,0.6777832109498714,6547.607846,true
E2,S1,15,5,10,v7,211,951.552,14927.819277108434,13001,83,15,0,3,0.1207773875,3.342757975,119.127208,61.758838,96.4129012,80,true,302.663,635.434978,0.09461753018682405,14,9151.307559,0.7338653089410389,6715.827149,true
