exp,cond,n,lam,seed,map,runId,durationS,events.dist_avg,events.dist_median,events.n_assign,events.n_block,events.n_fail,events.n_preempt,task.assignwait_avg,task.blocked_avg,task.lat_max,task.lat_median,task.lat_p95,task.n_done,taskReliable,throughput_per_h,vehicle.blocked_s,vehicle.f,vehicle.n_veh,vehicle.observed_s,vehicle.utilization,vehicle.working_s,vehicleReliable
E3w10,S1,15,8,1,v7,291,743.022,13431.90909090909,11000,88,17,0,8,0.2527173375,6.3200375125,181.748254,64.5794365,112.73077149999999,80,true,387.606,787.731695,0.11891533969036357,14,8279.355374,0.800099345270597,6624.306814,true
E3w10,S1,15,8,2,v7,292,749.099,20854.03370786517,17001,89,35,0,9,6.5914753375,26.1439265875,317.300152,91.132359,222.84804559999998,80,true,384.462,971.375,0.130560809647057,15,9669.085772,0.76946465337447,7440.019732,true
E3w10,S1,15,8,3,v7,293,686.043,14184.880434782608,13000,92,23,0,12,0.71975815,10.7406959125,200.882213,71.72780449999999,138.40594224999998,80,true,419.799,895.613159,0.13038889215062577,15,8339.800978,0.8236148791943031,6868.784175,true
E3w10,S1,15,8,4,v7,294,684.528,18488.98888888889,17001,90,38,0,10,6.2358859,29.6080163875,375.85956,98.1382515,214.73655875,80,true,420.728,1045.785248,0.1428418748578514,15,9200.401486,0.795756491294493,7321.279205,true
E3w10,S1,15,8,5,v7,295,731.216,12341.282352941176,12000,85,15,0,5,0.2856616375,3.246390175,115.220733,65.340472,92.2010074,80,true,393.864,797.174582,0.12166005503255929,15,8452.168628,0.7752419782886518,6552.475928,true
