exp,cond,n,lam,seed,map,runId,durationS,events.dist_avg,events.dist_median,events.n_assign,events.n_block,events.n_fail,events.n_preempt,task.assignwait_avg,task.blocked_avg,task.lat_max,task.lat_median,task.lat_p95,task.n_done,taskReliable,throughput_per_h,vehicle.blocked_s,vehicle.f,vehicle.n_veh,vehicle.observed_s,vehicle.utilization,vehicle.working_s,vehicleReliable
E1,S1,4,8,1,v7,184,1680.472,20512,20000,84,62,0,4,116.89655855,383.635018725,1243.142451,509.961723,1190.64730775,80,true,171.38,532.958053,0.09138836398679205,15,6569.475537,0.8877106419157369,5831.793346,true
E1,S1,4,8,2,v7,186,1633.031,20614.566265060243,21000,83,60,0,3,110.4856505875,353.08978835,1494.553339,429.2789375,1221.64740225,80,true,176.359,599.241502,0.10330883032936086,4,6308.964144,0.9194039817957159,5800.486755,true
E1,S1,4,8,3,v7,187,1730.187,19345.333333333332,19500.5,84,62,0,4,118.1696917,408.8206060875,1640.316579,540.9432545,1347.03014745,80,true,166.456,553.562264,0.09448786797055213,4,6746.261797,0.8684148407352417,5858.553864,true
E1,S1,4,8,4,v7,188,1614.46,19712.735632183907,20000,87,62,0,7,114.104027525,384.444984525,1400.782619,530.5197425,1248.79538265,80,true,178.388,575.491183,0.09945054319454813,4,6315.009803,0.916341774204527,5786.707287,true
E1,S1,4,8,5,v7,189,1711.113,19629.728395061727,20000,81,64,0,1,125.47706885,391.2927829625,1314.34032,563.746578,1232.40244375,80,true,168.312,516.943569,0.08866590689950647,4,6669.513698,0.874162772579405,5830.240586,true
E1,S1,4,8,6,v7,190,1710.851,19963.951807228917,20000,83,59,0,3,113.2697804125,359.097078475,1570.667614,510.399443,1125.1211672,80,true,168.337,585.491963,0.10012376984668105,4,6515.565327,0.8974941804002267,5847.681963,true
E1,S1,4,8,7,v7,192,1646.196,19385.66265060241,20000,83,64,0,3,115.1377076,390.3344069625,1339.459457,461.37812399999996,1241.08529145,80,true,174.949,609.537429,0.103799257215145,4,6380.548472,0.9203396249976799,5872.271588,true
E1,S1,4,8,8,v7,194,1636.958,18883.81395348837,19000,86,58,0,6,115.6487000375,354.1953066875,1340.355129,425.388993,1180.17529945,80,true,175.936,650.463982,0.11041283936093824,4,6418.635636,0.917827259730747,5891.198757,true
E1,S1,4,8,9,v7,195,1766.43,19585.463414634145,20000,82,61,0,2,116.8367073,406.6938454625,1571.704616,538.470362,1326.98048395,80,true,163.041,568.513491,0.09499786729083996,4,6870.909193,0.8709890813426734,5984.486886,true
E1,S1,4,8,10,v7,196,1656.04,19289.253012048193,19001,83,61,0,3,125.7508160875,401.9417721,1486.711555,574.8780449999999,1166.8263089,80,true,173.909,593.614694,0.10132779586084424,4,6436.367291,0.9101966396777528,5858.35988,true
