exp,cond,n,lam,seed,map,runId,durationS,events.dist_avg,events.dist_median,events.n_assign,events.n_block,events.n_fail,events.n_preempt,task.assignwait_avg,task.blocked_avg,task.lat_max,task.lat_median,task.lat_p95,task.n_done,taskReliable,throughput_per_h,vehicle.blocked_s,vehicle.f,vehicle.n_veh,vehicle.observed_s,vehicle.utilization,vehicle.working_s,vehicleReliable
E3w5,S1,15,8,1,v7,286,747.169,13750.095238095239,12000,84,15,0,4,0.269748775,7.4861062625,219.819418,68.39163199999999,106.99985094999995,80,true,385.455,856.029407,0.12938824652191805,12,8295.097676,0.797576505957469,6615.975021,true
E3w5,S1,15,8,2,v7,287,744.135,20879.21978021978,18000,91,39,0,11,8.9239008125,36.36844155,437.458571,100.936348,269.1805134999999,80,true,387.027,860.263553,0.11831986109901496,15,9598.18549,0.7575036566625053,7270.660606,true
E3w5,S1,15,8,3,v7,288,705.645,15043.10752688172,12000,93,23,0,13,0.243687425,10.409919075,194.475676,68.35358400000001,147.8294444,80,true,408.137,897.162585,0.129533080496171,15,8242.747454,0.8402692407661869,6926.127145,true
E3w5,S1,15,8,4,v7,289,680.684,18943.272727272728,18000,88,33,0,8,5.6744759,21.9185734,408.232092,98.59166300000001,177.1648129499999,80,true,423.104,1176.217037,0.16109364234448742,15,9244.048952,0.7898540111495508,7301.449144,true
E3w5,S1,15,8,5,v7,290,741.842,13976,13000,83,16,0,3,0.18839315,4.2525637875,118.124768,64.3390345,103.30100574999999,80,true,388.223,857.354479,0.12885590717189527,14,8588.483369,0.7747107979525274,6653.590804,true
