exp,cond,n,lam,seed,map,runId,durationS,events.dist_avg,events.dist_median,events.n_assign,events.n_block,events.n_fail,events.n_preempt,task.assignwait_avg,task.blocked_avg,task.lat_max,task.lat_median,task.lat_p95,task.n_done,taskReliable,throughput_per_h,vehicle.blocked_s,vehicle.f,vehicle.n_veh,vehicle.observed_s,vehicle.utilization,vehicle.working_s,vehicleReliable
E3w20,S1,15,8,1,v7,296,749.506,13081.488372093023,12000,86,16,0,6,0.1509485125,5.0291520875,161.497808,66.1199525,107.85076194999998,80,true,384.253,872.645842,0.13198219610267792,14,7274.875732,0.9088602176277009,6611.845141,true
E3w20,S1,15,8,2,v7,297,736.623,20326.41052631579,18000,95,44,0,15,7.51242235,40.18152135,431.908447,98.314708,307.11438665000003,80,true,390.973,1012.488042,0.1361332613475092,15,9262.687423,0.8029502634982743,7437.477307,true
E3w20,S1,15,8,3,v7,298,715.287,14750.102272727272,13000,88,18,0,8,0.4018896625,9.1684456875,198.415737,69.5735215,156.35262335,80,true,402.636,900.879975,0.1264549065667639,15,8626.346679,0.8258560233085666,7124.120364,true
E3w20,S1,15,8,4,v7,299,700.084,19348.415730337078,18000,89,39,0,9,9.599463425,38.5659872125,518.190878,115.15565699999999,245.98707615,80,true,411.379,1260.096012,0.1625345790105959,15,9542.490187,0.8124490671797429,7752.787251,true
E3w20,S1,15,8,5,v7,300,750.532,15536.682926829268,15000,82,16,0,2,0.297819825,4.1995392625,146.870127,74.03807,110.02982529999998,80,true,383.728,1187.443419,0.16347834715433088,15,9421.57215,0.7709554954689808,7263.612825,true
