exp,cond,n,lam,seed,map,runId,durationS,events.dist_avg,events.dist_median,events.n_assign,events.n_block,events.n_fail,events.n_preempt,task.assignwait_avg,task.blocked_avg,task.lat_max,task.lat_median,task.lat_p95,task.n_done,taskReliable,throughput_per_h,vehicle.blocked_s,vehicle.f,vehicle.n_veh,vehicle.observed_s,vehicle.utilization,vehicle.working_s,vehicleReliable
E3noany,S1,15,8,1,v7,306,755.809,13862.16091954023,12000,87,17,0,7,0.207988525,5.6638473375,165.443023,64.465724,112.87790339999992,80,true,381.049,776.224503,0.12030129266759819,14,7549.496921,0.8546711447820988,6452.337176,true
E3noany,S1,15,8,2,v7,307,726.856,19815.33695652174,18000,92,41,0,12,8.3716913,33.3085111,322.386169,90.08032800000001,254.91864784999996,80,true,396.227,980.527575,0.13224111370948308,15,9532.173678,0.7778598703161398,7414.695381,true
E3noany,S1,15,8,3,v7,308,688.033,16876.505617977527,14000,89,22,0,9,0.445775,10.21233225,185.809803,68.521681,152.4822381,80,true,418.585,677.987506,0.09933516878824707,15,8097.693918,0.8428636018000699,6825.251462,true
E3noany,S1,15,8,4,v7,309,707.078,20392.95238095238,18000,84,40,0,4,13.2320260625,40.0971679125,524.228516,118.98299850000001,234.20264004999996,80,true,407.31,980.015189,0.12948167363028573,15,9703.980937,0.7799640177714418,7568.75596,true
E3noany,S1,15,8,5,v7,310,817.073,15976.837209302326,14000,86,15,0,6,0.2683276625,4.9106221125,193.869892,63.978364,116.7269918,80,true,352.478,709.374798,0.1052190129279032,15,11133.831509,0.6055317048358613,6741.887975,true
